Tumor,Gene
MEL,OR10A3
MEL,OR10G3
MEL,OR10H1
MEL,OR10K1
MEL,OR14J1
MEL,OR1A1
MEL,OR1I1
MEL,OR2A1
MEL,OR2A42
MEL,OR2A5
MEL,OR2AP1
MEL,OR2AT4
MEL,OR2B11
MEL,OR2F1
MEL,OR2G6
MEL,OR2L2
MEL,OR2M3
MEL,OR2T12
MEL,OR4D9
MEL,OR4F17
MEL,OR51B5
MEL,OR52A1
MEL,OR52K1
MEL,OR56A4
MEL,OR5AS1
MEL,OR6C75
MEL,OR6Y1
MEL,OR7D2
MEL,OR7G2
PRAD,OR10G3
PRAD,OR10H1
PRAD,OR14J1
PRAD,OR1A1
PRAD,OR1D2
PRAD,OR2A5
PRAD,OR2AT4
PRAD,OR2L2
PRAD,OR2M3
PRAD,OR2T12
PRAD,OR4D9
PRAD,OR4F17
PRAD,OR5A1
PRAD,OR5A2
PRAD,OR5AS1
PRAD,OR6C75
PRAD,OR6Y1
PRAD,OR7C1
PRAD,OR8A1
PDAC,OR10G3
PDAC,OR10H1
PDAC,OR14J1
PDAC,OR1A1
PDAC,OR1D2
PDAC,OR1I1
PDAC,OR2A5
PDAC,OR2AT4
PDAC,OR2G6
PDAC,OR2M3
PDAC,OR2V2
PDAC,OR4F17
PDAC,OR5AS1
PDAC,OR6C75
PDAC,OR6K3
PDAC,OR6Y1
PDAC,OR7G2
NSCLC,OR1A1
NSCLC,OR2G6
NSCLC,OR4F17
LUAD,OR10G3
LUAD,OR10H1
LUAD,OR10H5
LUAD,OR10K1
LUAD,OR14J1
LUAD,OR1A1
LUAD,OR1D2
LUAD,OR1I1
LUAD,OR1M1
LUAD,OR2A5
LUAD,OR2AT4
LUAD,OR2B11
LUAD,OR2F1
LUAD,OR2G6
LUAD,OR2L2
LUAD,OR2M3
LUAD,OR2M4
LUAD,OR2T12
LUAD,OR2V2
LUAD,OR4D9
LUAD,OR4F17
LUAD,OR51M1
LUAD,OR52I1
LUAD,OR52K1
LUAD,OR56A1
LUAD,OR5A1
LUAD,OR5A2
LUAD,OR5AS1
LUAD,OR6C75
LUAD,OR6J1
LUAD,OR6K3
LUAD,OR6Y1
LUAD,OR7A17
LUAD,OR7C1
LUAD,OR7D2
LUAD,OR7D4
LUAD,OR7G2
LUAD,OR8A1
LUAD,OR7A5
ESCC,OR10G3
ESCC,OR10H1
ESCC,OR10K1
ESCC,OR14J1
ESCC,OR1A1
ESCC,OR1D2
ESCC,OR1I1
ESCC,OR2AT4
ESCC,OR2G6
ESCC,OR2L2
ESCC,OR2M3
ESCC,OR2T12
ESCC,OR4F17
ESCC,OR5A1
ESCC,OR5AS1
ESCC,OR6C75
ESCC,OR6Y1
GLIOMA,OR7D2
CER,OR10G3
CER,OR14J1
CER,OR1A1
CER,OR2A5
CER,OR2AT4
CER,OR2B6
CER,OR2F1
CER,OR2M3
CER,OR4F17
CER,OR51B5
CER,OR52K1
CER,OR5AS1
BRCA,OR7D2
CRC,OR10G3
CRC,OR10H1
CRC,OR10H5
CRC,OR14J1
CRC,OR1A1
CRC,OR1D2
CRC,OR1I1
CRC,OR2A5
CRC,OR2AT4
CRC,OR2G6
CRC,OR2L2
CRC,OR2M3
CRC,OR4D9
CRC,OR4F17
CRC,OR51B4
CRC,OR51B5
CRC,OR51B6
CRC,OR51I1
CRC,OR51I2
CRC,OR51M1
CRC,OR5A1
CRC,OR5AS1
CRC,OR6C75
CRC,OR6Y1
CRC,OR7C1
CRC,OR8A1
CML,OR10A2
CML,OR10G3
CML,OR10H1
CML,OR10H5
CML,OR10K1
CML,OR14J1
CML,OR1A1
CML,OR1D2
CML,OR1I1
CML,OR1M1
CML,OR2A5
CML,OR2AP1
CML,OR2AT4
CML,OR2B11
CML,OR2F1
CML,OR2G6
CML,OR2L2
CML,OR2M3
CML,OR2M4
CML,OR2T12
CML,OR2V2
CML,OR4D1
CML,OR4D9
CML,OR4F17
CML,OR4K17
CML,OR51B4
CML,OR51B5
CML,OR51M1
CML,OR52A1
CML,OR52I1
CML,OR52K1
CML,OR5A1
CML,OR5A2
CML,OR5AS1
CML,OR5AU1
CML,OR6C75
CML,OR6J1
CML,OR6K3
CML,OR6Y1
CML,OR7A17
CML,OR7C1
CML,OR7D2
CML,OR7D4
CML,OR7G2
CML,OR8A1
CML,OR8D1
CML,OR7A5