BC02_Pooled,BC04_Pooled,BC06_Pooled,BC07LN_Pooled,BC08_Pooled,BC11_Pooled,BC03_Pooled,BC03LN_Pooled
0,0,0.07143882,0,0.2111904,1.3424068,0,0.1334266
0.31286495,0,0,0,1.0576651,3.1158073,0.70683464,0
0.65131948,0.5530764,0.31443783,0.3932064,1.2131419,1.4739843,0.5188604,0.2983956
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.64292795,1.2922222,0.81678646,1.3210795,2.5919857,2.956473,1.12053774,0.8638362
1.0927081,1.0707328,0.81773294,0.9825384,2.393169,2.9880593,0.79348059,0.8000662
0,0,0,0,0,0,0,0
1.36968423,1.4532805,0.4293278,1.2710551,1.4701984,2.0984431,1.20654946,0.8059783
0,0,0,0,0,0,0,0
0.04808703,0,0.06428193,0.1054814,0.4112527,0.6849264,0.06004572,0.1068046
2.35220484,1.3269975,0.64679675,1.0429244,3.3974046,3.5698192,0.91413203,0.9669037
0,0,0,0,0,0,0,0
0.15566764,0.063221,0.0230627,0,0.5957643,0.8373636,0,0
0,0,0,0,1.6526196,0,0,0
0.8615608,0.5651682,0.13585227,0.2960638,1.8476683,2.4511979,0.52107889,0.2804967
0,0,0,0,0,0,0,0
1.08654601,0.8284139,0.20081443,0.6133034,1.4965442,2.0889455,0.31312973,0.1804814
1.21723072,0.6050221,0.30631358,0.2145911,2.4774079,3.3157126,0.40072153,0.2805205
0.24983486,0.6760932,0.23772768,0.5658808,0.5582657,1.2452583,0.16563414,0.3226977
0.70200674,0.2908997,0.22187956,0.1831193,0.555076,0.9111531,0.14476166,0.3983416
0.86467467,0.9047631,0.34584144,1.0211457,1.5072923,2.6573976,0.49462144,0.2143909
0,0,0,0,0,1.7534163,0,0
0,0,0,0,0,0,0,0
1.11104467,1.0677901,0.43242711,0.5040091,2.1762813,2.9164537,0.51168359,0.7523581
0,0,0,0,0,0,0,0
0.60285971,0,0.39038484,1.2112801,1.1376609,1.5881137,0.97936396,0.6109419
0.39721372,0.279337,0.05803562,0.2911768,0.6183843,1.170361,0.14405943,0.0935334
1.24366299,0.8194818,0.5134008,0.7482989,2.3868909,2.6954995,0,0.1616426
1.37539537,0.3036171,0.66898775,0.4746344,2.3117588,2.7572793,0.31095895,0.5221733
1.46448008,0.8252866,0.52408876,1.2621084,2.2592273,2.8811105,0.64385157,0.94166
0.04655588,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.70007123,0.7780706,0.28703605,0.5522748,2.9424376,3.5570792,0.58928219,0.5561263
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.58788436,0.4288467,0.0749501,0,1.3700694,1.7041593,0.05036949,0.1836936
1.48347787,0.8631725,0.84790633,0.7514663,3.5662307,4.0107351,0.84451823,0.5260608
1.07200287,0.7660557,0.83124896,0.3390302,1.1610041,1.7151554,0.5452419,0.1955252
0,0,0,0,0,0,0,0
2.4895378,0.7398507,1.20830499,0.5181836,3.6219464,4.4225829,0.36348734,0.5521606
0,0,0,0,0,0,0,0
0.63440183,0.5912849,0.20458773,0.5280422,1.5978076,2.3810147,0,0.4215125
0.80833727,0,0.5213885,0.5247377,1.6685004,2.5364309,0,0.7653565
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0.667607,0,0
0,0,0,0,0,0,0,0
0.59030787,0.3850135,0.12607697,0.1099256,0.5372613,0.8457502,0.24578162,0.1049712