BC02,BC04,BC06,BC07LN,BC08,BC11,BC03,BCO3LN
0.332718462,0.31481687,0.110321908,0.3428467,0.1930028,0.1330407,0.330536,0.389284
0.317814566,0.44774701,0.062994527,0.303189,0.1705512,0.6916516,0.2699624,0.3637659
1.687096543,1.48910346,0.401668584,1.5201126,1.4613276,1.3448098,1.5097965,1.160086
0,0,0,0,0,0,0,0
0.005128952,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.752929997,2.0942672,0.632174754,2.3617426,1.6666523,0.9364644,2.3802897,2.2283804
2.650783752,2.77717586,0.77600226,2.6166291,2.8796025,2.1776488,2.5345572,2.3219095
0,0.02979896,0,0,0,0,0,0
1.053147098,1.38648355,0.23891498,1.1155193,1.1763502,1.4404545,0.7720605,1.172836
0,0,0,0,0.183031,0,0,0
0.372056485,0.44064353,0.117976648,0.4064903,0.3353688,0.1959762,0.4672145,0.5841914
2.848048338,3.20411102,0.916687998,3.37306,2.6960243,2.9524809,2.9186642,2.9489498
0,0,0.008547841,0,0,0,0,0
0.419120467,0.37962239,0.057651515,0.1083404,0.1480965,0.1226035,0.269159,0.1632628
0,0,0,0,0,0,0,0
1.14685938,1.73627604,0.450579327,1.5752426,1.3166921,0.8663355,1.4516097,1.4281384
0,0,0,0,0,0,0,0
1.467919037,1.48902661,0.05773677,1.2476606,1.1953407,0.9345586,1.2591911,1.5124016
1.000477512,1.6544985,0.24452847,1.4391683,1.414036,1.3889975,1.4125016,0.9920526
1.96209941,1.34519023,0.213543758,2.1600608,0.8160341,0.8152647,1.2677048,1.3645274
1.42078501,1.10062321,0.069321856,0.8039951,0.8054608,0.6628622,1.4513373,1.175897
1.507918042,1.77452174,0.489021998,1.8136982,1.6463787,0.9621893,1.4446946,1.8888291
0.123410311,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.905538971,1.25599989,0.225058582,1.9656753,1.116595,1.2530375,2.160256,2.4144723
0,0,0,0,0,0,0,0
0.691312631,0.67534189,0.157643122,0.8083164,0.4874541,0.443321,0.8186507,1.1295467
0.445611324,0.60402306,0.175083461,0.5260467,0.5722122,0.1005302,0.610223,0.4612724
1.015047648,1.92244588,0.451942065,1.2049631,0.6598873,0.9312657,0.8287205,1.2365261
1.720891738,2.36638194,0.401276322,1.2693159,1.2179456,1.3154408,1.3255059,1.6526048
2.155538839,1.90717117,0.40598325,1.6197818,0.7213258,0.8820698,1.0491127,1.9106485
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.852990138,2.3280432,1.103015102,1.9685971,2.1683711,2.1609765,1.83336,1.8350916
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.646347031,0.83297809,0.121046318,0.6844441,1.0421422,0.9894354,0.3857675,0.5069353
2.191579089,2.57539112,0.754415512,2.3771401,2.0050557,1.6515457,2.5250211,1.5030321
2.171198764,1.16242716,0.29212277,1.4605147,1.0980578,0.7561797,1.9077315,1.6418078
0,0,0,0,0,0,0,0
2.367024801,2.36913887,1.826838868,2.6947414,2.0663857,1.8739106,2.0214978,2.2920087
0,0,0,0,0,0,0,0
0.259686476,0.7300572,0.311477963,0.4303078,0.168911,0.8516612,0.5776628,1.3173336
1.08121016,1.01527278,0.550321939,0.7161618,0.7175612,0.4672683,1.217538,1.0640423
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2.107045863,1.17352856,0.129329841,0.9047344,0.6825415,0.1776655,0.8158173,0.7897575